id,pyears,prftshr,choice,female,married,age,educ,finc25,finc35,finc50,finc75,finc100,finc101,wealth89,black,stckin89,irain89,pctstck
38,1,0,1,0,1,64,12,0,0,1,0,0,0,77.9000015258789,0,1,1,0
152,6,1,1,1,1,56,13,0,0,0,1,0,0,154.89999389648438,0,1,1,50
152,25,1,1,0,1,56,12,0,0,0,1,0,0,154.89999389648438,0,1,1,50
182,20,1,0,1,1,63,12,1,0,0,0,0,0,232.5,0,1,1,100
222,35,0,1,0,1,67,12,0,1,0,0,0,0,179.0,0,0,1,100
226,13,1,0,0,1,64,11,0,0,0,1,0,0,120.0250015258789,0,1,0,0
233,2,0,1,1,1,64,12,1,0,0,0,0,0,52.0,0,0,1,100
233,10,1,0,1,1,64,12,1,0,0,0,0,0,52.0,0,0,1,100
253,26,0,0,1,1,69,12,0,1,0,0,0,0,0.0,0,0,0,50
314,5,0,1,0,1,60,14,0,0,0,0,0,1,183.64999389648438,0,1,1,50
398,1,1,1,1,1,59,12,0,0,0,0,1,0,458.0,0,1,1,100
402,8,1,0,1,0,56,12,0,0,1,0,0,0,203.0,0,1,0,100
450,7,0,1,0,1,63,14,0,0,0,0,0,1,913.0,0,0,0,50
460,40,0,0,1,1,67,12,0,0,0,0,1,0,292.0,0,0,1,100
460,18,0,1,0,1,69,16,0,0,0,0,1,0,292.0,0,0,1,0
490,2,0,1,1,1,58,12,0,1,0,0,0,0,147.89999389648438,0,0,0,50
490,2,0,1,1,1,58,12,0,1,0,0,0,0,147.89999389648438,0,0,0,50
500,20,0,1,0,1,61,18,0,0,0,0,1,0,295.5,0,1,1,0
503,24,0,1,0,1,62,12,0,0,0,1,0,0,224.1999969482422,0,0,1,100
515,5,0,0,1,1,59,16,0,0,1,0,0,0,254.89999389648438,0,1,1,100
530,12,0,0,1,1,55,12,0,0,0,0,1,0,90.19999694824219,0,0,1,50
587,15,0,1,0,1,65,18,0,0,0,0,0,1,340.0,0,0,0,0
589,10,0,1,1,0,57,12,0,1,0,0,0,0,188.5,0,0,0,100
614,9,0,0,1,0,69,12,0,0,0,0,0,0,15.0,1,0,0,100
626,9,0,1,1,1,59,12,0,1,0,0,0,0,172.0,1,1,1,50
734,10,0,0,1,0,63,16,1,0,0,0,0,0,206.0,1,0,0,0
787,20,0,0,1,0,56,18,0,0,0,0,0,1,441.0,0,1,0,50
888,10,0,0,1,1,63,12,0,0,1,0,0,0,219.5500030517578,0,0,1,50
888,10,0,0,0,1,67,12,0,0,1,0,0,0,219.5500030517578,0,0,1,0
910,6,0,0,1,0,55,14,0,1,0,0,0,0,142.0,1,0,0,0
910,17,0,1,1,0,55,14,0,1,0,0,0,0,142.0,1,0,0,100
953,20,0,1,0,1,68,12,0,0,1,0,0,0,672.2000122070312,0,1,1,0
953,6,0,1,0,1,68,12,0,0,1,0,0,0,672.2000122070312,0,1,1,50
1088,20,0,0,0,1,68,18,1,0,0,0,0,0,101.0,0,0,1,0
1101,7,1,0,1,0,63,12,1,0,0,0,0,0,120.0,0,1,0,100
1104,2,0,1,1,0,60,17,0,0,1,0,0,0,25.5,0,0,1,0
1140,26,1,1,0,1,64,12,0,1,0,0,0,0,150.0,0,0,0,50
1173,2,0,0,1,1,57,12,1,0,0,0,0,0,106.30000305175781,0,1,1,100
1190,,0,0,1,1,55,14,0,0,1,0,0,0,105.0,0,0,0,50
1191,10,0,1,0,1,59,12,0,1,0,0,0,0,0.0,0,0,0,50
1230,3,0,0,1,0,59,12,1,0,0,0,0,0,102.05599975585938,0,1,1,50
1279,2,0,1,1,0,55,12,0,0,1,0,0,0,90.0,0,0,1,50
1323,35,0,0,1,0,64,17,0,1,0,0,0,0,64.81900024414062,1,0,1,50
1360,10,0,1,0,1,66,12,0,1,0,0,0,0,0.0,0,0,0,0
1401,2,1,1,1,0,57,12,0,0,0,0,0,1,1.5,0,0,0,0
1542,5,0,1,1,1,69,12,1,0,0,0,0,0,302.0,0,1,1,50
1549,12,0,0,1,1,59,18,0,0,0,0,1,0,175.0,1,0,1,50
1549,15,0,0,0,1,61,18,0,0,0,0,1,0,175.0,1,0,1,50
1576,6,0,1,0,1,60,16,0,0,0,1,0,0,136.0,0,0,1,50
1577,3,0,1,1,0,60,8,1,0,0,0,0,0,1.600000023841858,0,0,0,0
1591,25,1,0,0,1,73,12,0,0,1,0,0,0,165.0,0,0,0,0
1597,,0,1,0,1,61,16,0,0,0,0,0,1,-579.9970092773438,0,1,1,50
1603,6,0,1,1,0,64,15,0,0,0,0,1,0,248.0,0,1,1,100
1658,3,0,1,1,1,61,12,1,0,0,0,0,0,306.79998779296875,0,0,1,0
1658,3,0,1,0,1,62,11,1,0,0,0,0,0,306.79998779296875,0,0,1,0
1667,1,0,1,1,1,56,12,1,0,0,0,0,0,227.0,0,0,1,0
1670,12,0,1,0,1,59,12,0,1,0,0,0,0,261.6000061035156,0,1,1,100
1671,20,0,0,0,1,68,8,1,0,0,0,0,0,133.0,0,1,1,0
1672,14,0,1,1,0,59,16,1,0,0,0,0,0,214.0,0,0,1,50
1691,6,1,1,0,1,65,12,0,1,0,0,0,0,68.0,0,0,0,100
1755,3,0,0,1,0,60,12,1,0,0,0,0,0,171.6999969482422,0,1,1,0
1757,7,0,0,1,0,57,12,1,0,0,0,0,0,87.0,0,0,0,50
1762,28,1,0,0,1,63,12,0,0,1,0,0,0,402.9519958496094,0,1,1,50
1768,11,0,0,1,1,55,12,0,1,0,0,0,0,369.3999938964844,0,0,0,100
1787,10,1,0,0,1,64,11,0,1,0,0,0,0,38.5,0,0,0,100
1809,17,0,0,0,1,61,18,0,0,0,0,1,0,79.80000305175781,0,0,0,50
1810,15,0,1,1,1,57,9,0,0,0,0,1,0,70.0,0,0,0,50
1810,8,0,1,0,1,61,18,0,0,0,0,1,0,70.0,0,0,0,50
1824,2,0,1,0,1,62,18,0,0,0,0,1,0,711.9970092773438,0,1,0,50
1833,16,1,1,0,1,57,14,0,0,1,0,0,0,98.0,0,0,0,100
1935,13,0,1,1,1,57,12,0,0,0,1,0,0,87.5,0,0,1,0
1947,5,0,1,1,1,60,12,0,1,0,0,0,0,0.0,0,0,0,100
1965,1,0,1,1,1,56,12,0,0,1,0,0,0,120.5,0,0,1,100
1995,6,0,1,0,1,55,18,0,0,0,0,1,0,5.699999809265137,0,1,0,50
2012,25,0,1,0,1,63,16,0,0,0,1,0,0,525.0,0,1,1,0
2034,2,0,1,1,1,62,12,0,1,0,0,0,0,483.0,0,0,1,0
2082,4,1,1,0,1,64,12,0,0,1,0,0,0,98.69999694824219,0,0,0,50
2082,45,1,1,0,1,64,12,0,0,1,0,0,0,98.69999694824219,0,0,0,50
2142,2,0,1,1,0,56,12,1,0,0,0,0,0,2.0,0,0,0,0
2148,20,0,1,0,1,60,14,0,0,1,0,0,0,180.39999389648438,0,1,0,50
2190,38,0,0,0,1,56,15,0,0,0,0,1,0,110.0,0,0,0,100
2190,38,1,0,0,1,56,15,0,0,0,0,1,0,110.0,0,0,0,100
2198,13,1,1,1,1,64,14,1,0,0,0,0,0,79.44999694824219,0,0,1,0
2204,1,0,1,1,1,55,12,0,0,0,1,0,0,314.0,0,1,1,50
2204,6,0,1,1,1,55,12,0,0,0,1,0,0,314.0,0,1,1,50
2265,3,0,1,1,0,55,16,0,0,1,0,0,0,42.0,0,0,0,100
2319,15,0,1,1,0,64,8,1,0,0,0,0,0,47.400001525878906,0,0,1,0
2324,7,0,1,1,1,68,14,0,0,0,0,0,0,208.39999389648438,0,1,1,50
2359,22,0,0,1,1,65,14,0,0,0,0,0,0,21.0,0,0,0,0
2373,23,0,1,0,1,72,18,0,1,0,0,0,0,98.9000015258789,0,0,0,50
2382,6,1,1,1,1,58,12,0,0,0,0,0,0,33.880001068115234,0,1,0,100
2382,3,0,1,1,1,58,12,0,0,0,0,0,0,33.880001068115234,0,1,0,100
2439,3,0,0,1,0,56,12,0,1,0,0,0,0,96.0,0,0,0,50
2442,15,0,0,1,0,57,9,1,0,0,0,0,0,66.5479965209961,0,0,0,0
2443,5,0,0,1,1,59,14,1,0,0,0,0,0,42.459999084472656,1,1,1,0
2453,27,0,1,1,0,63,12,0,0,0,0,0,0,105.19999694824219,0,1,0,100
2512,12,0,1,1,1,59,18,0,0,0,0,1,0,370.0,0,0,0,50
2512,12,0,0,1,1,59,18,0,0,0,0,1,0,370.0,0,0,0,50
2513,13,0,1,1,0,57,12,1,0,0,0,0,0,0.0,1,0,0,100
2516,14,0,0,1,0,61,12,1,0,0,0,0,0,25.0,1,0,0,0
2539,18,0,0,1,1,56,16,0,0,1,0,0,0,265.0,0,0,0,50
2539,18,0,0,0,1,58,16,0,0,1,0,0,0,265.0,0,0,0,50
2555,9,0,1,1,0,56,12,0,0,1,0,0,0,-3.799999952316284,1,0,0,100
2607,24,0,0,0,1,65,12,0,0,1,0,0,0,48.369998931884766,1,0,0,50
2615,6,0,1,1,0,55,12,0,0,1,0,0,0,15.5,0,0,0,100
2640,20,0,1,0,1,64,12,0,1,0,0,0,0,-6.300000190734863,0,0,0,100
2681,4,0,1,1,0,58,18,0,1,0,0,0,0,89.0,0,1,1,0
2772,2,0,1,1,1,55,11,0,0,1,0,0,0,70.30000305175781,1,0,0,50
2809,1,1,1,1,1,61,16,0,0,0,0,0,0,810.0,0,1,1,100
2829,1,0,1,0,1,64,18,0,0,0,0,1,0,341.0,0,1,1,100
2840,24,0,0,0,1,56,12,0,1,0,0,0,0,50.0,0,0,0,0
2871,12,0,0,1,1,64,12,0,1,0,0,0,0,152.0,0,1,1,0
2943,1,1,1,1,0,62,12,1,0,0,0,0,0,31.200000762939453,0,0,1,0
3006,1,0,1,1,1,60,16,0,0,0,1,0,0,584.2000122070312,0,1,0,50
3018,3,0,1,1,1,58,13,0,0,0,1,0,0,633.0,0,1,1,50
3087,7,0,1,1,1,57,14,0,0,1,0,0,0,79.80000305175781,0,0,1,100
3193,20,1,1,0,1,69,12,0,0,0,1,0,0,166.5,0,1,0,100
3259,20,0,0,1,1,58,9,0,1,0,0,0,0,7.900000095367432,1,0,0,100
3334,4,1,0,1,0,58,16,0,0,1,0,0,0,65.0999984741211,0,0,1,0
3352,10,0,1,1,0,56,12,1,0,0,0,0,0,-1.100000023841858,1,0,0,100
3365,2,0,0,1,1,59,16,1,0,0,0,0,0,194.9499969482422,0,1,0,0
3381,9,1,1,1,1,62,12,0,0,1,0,0,0,140.0,0,1,1,50
3381,10,0,1,0,1,65,12,0,0,1,0,0,0,140.0,0,1,1,50
3383,2,1,0,1,0,55,16,0,0,0,0,0,0,-2.299999952316284,1,0,0,0
3504,9,1,0,0,1,68,13,0,1,0,0,0,0,243.1999969482422,0,0,1,100
3584,20,0,1,0,1,57,12,0,0,0,1,0,0,595.0,0,1,1,100
3585,10,0,1,0,1,60,17,0,0,1,0,0,0,225.0,0,0,1,50
3600,9,1,0,1,1,55,12,0,0,1,0,0,0,691.0,0,1,1,0
3606,5,0,0,0,1,59,12,0,0,1,0,0,0,70.4000015258789,0,0,0,50
3617,8,0,1,0,1,58,17,0,0,0,1,0,0,390.1000061035156,0,1,1,100
3633,0,0,1,1,1,63,13,0,0,0,0,1,0,289.5,0,0,0,50
3641,7,0,1,1,0,57,15,0,0,1,0,0,0,1.0,1,0,0,50
3646,0,0,1,1,1,56,12,0,0,0,0,1,0,990.0,0,1,1,100
3669,5,0,0,0,1,58,12,0,0,0,1,0,0,50.599998474121094,0,0,0,0
3683,3,0,0,1,0,61,14,1,0,0,0,0,0,-2.809999942779541,0,1,0,0
3724,10,0,0,1,1,55,18,0,0,1,0,0,0,30.5,1,0,1,50
3726,10,0,1,0,1,58,12,0,0,0,1,0,0,244.5,0,0,1,100
3733,4,0,1,0,1,64,18,0,0,0,1,0,0,360.0,0,1,1,100
3802,15,0,1,0,1,63,12,0,0,0,0,1,0,240.0,0,0,1,0
3805,34,0,0,1,0,66,14,0,0,1,0,0,0,98.5,0,0,0,50
3824,25,0,1,0,1,65,17,1,0,0,0,0,0,662.0,0,1,1,50
3829,1,0,0,1,1,56,12,0,0,1,0,0,0,226.0,0,0,1,50
3829,15,0,1,1,1,56,12,0,0,1,0,0,0,226.0,0,0,1,50
3846,5,0,1,1,1,59,12,0,0,0,1,0,0,295.3999938964844,0,0,0,50
3846,6,0,1,0,1,61,17,0,0,0,1,0,0,295.3999938964844,0,0,0,50
3848,14,0,1,1,1,64,18,0,0,0,1,0,0,199.0,0,1,1,0
3855,20,1,1,0,1,54,16,0,0,0,1,0,0,113.0,0,0,0,50
3878,3,0,0,1,1,68,12,0,0,0,0,0,1,1396.9969482421875,0,0,1,0
3884,7,0,0,1,0,55,12,1,0,0,0,0,0,18.0,0,0,1,50
3898,4,0,1,1,0,60,12,1,0,0,0,0,0,81.19999694824219,0,1,1,50
3906,2,0,1,1,1,57,16,0,0,0,1,0,0,445.5,0,1,1,0
3917,7,1,0,1,1,62,16,0,0,0,0,1,0,751.9970092773438,0,1,1,0
3917,7,1,0,0,1,64,12,0,0,0,0,1,0,751.9970092773438,0,1,1,0
3923,20,0,1,1,1,60,18,0,0,0,0,0,1,252.0,0,0,1,50
3931,1,0,1,1,1,60,16,0,0,1,0,0,0,118.32499694824219,0,1,1,100
3931,2,0,0,0,1,59,10,0,0,1,0,0,0,118.32499694824219,0,1,1,100
3938,1,0,0,1,1,55,13,0,0,0,0,0,1,3.0999999046325684,0,0,0,0
3961,11,0,1,1,0,62,18,0,0,0,1,0,0,1103.0,0,0,1,0
3973,1,0,1,1,0,55,14,0,0,1,0,0,0,20.0,0,0,1,100
3979,30,0,1,0,1,58,18,0,0,0,1,0,0,114.5,0,0,0,50
4001,8,0,1,1,0,57,12,0,1,0,0,0,0,25.0,1,0,1,100
4017,3,0,1,1,1,57,13,0,1,0,0,0,0,-4.284999847412109,0,0,0,0
4070,10,0,1,1,1,57,16,0,0,0,0,0,1,895.0,0,0,0,50
4072,11,0,1,0,1,70,18,0,1,0,0,0,0,555.5,0,1,0,100
4110,4,0,1,0,1,65,17,0,0,0,1,0,0,846.4000244140625,0,0,1,100
4124,25,1,0,1,1,67,12,0,1,0,0,0,0,122.69999694824219,0,0,1,0
4125,11,0,1,0,1,59,14,0,0,0,0,1,0,172.10000610351562,0,1,1,0
4127,25,0,1,0,1,61,12,0,1,0,0,0,0,143.0,0,0,1,0
4134,15,0,1,1,1,61,16,0,0,1,0,0,0,2.0,0,0,0,0
4143,7,0,1,1,0,65,12,0,0,1,0,0,0,31.950000762939453,0,0,0,100
4154,4,0,1,1,0,62,17,0,1,0,0,0,0,151.61599731445312,0,0,1,50
4206,1,1,0,1,1,55,12,1,0,0,0,0,0,88.5,0,0,0,100
4230,,0,1,0,1,59,18,0,0,0,0,0,1,216.0,0,0,1,50
4237,14,1,0,1,0,55,15,1,0,0,0,0,0,101.08000183105469,0,1,0,100
4248,16,0,0,0,1,63,12,0,0,1,0,0,0,1484.9969482421875,0,1,1,0
4318,7,0,0,1,0,62,12,0,0,0,0,0,0,11.0,0,0,0,0
4324,6,0,1,0,1,58,12,0,0,1,0,0,0,242.14999389648438,0,1,1,0
4389,16,0,1,1,0,65,11,1,0,0,0,0,0,166.0,0,1,1,0
4401,10,0,0,1,1,61,9,0,1,0,0,0,0,57.0,0,0,1,0
4419,6,0,1,1,0,55,12,0,0,0,0,0,0,58.900001525878906,1,0,0,50
4485,10,1,0,1,1,63,12,1,0,0,0,0,0,66.5,0,0,0,0
4485,27,0,0,0,1,66,12,1,0,0,0,0,0,66.5,0,0,0,0
4544,5,0,1,0,1,64,8,0,0,1,0,0,0,101.75,0,0,1,50
4580,8,0,0,0,1,70,12,0,1,0,0,0,0,329.0,0,0,1,0
4592,2,0,1,1,1,55,16,0,0,0,0,0,1,-2.0,0,0,0,50
4593,28,0,1,0,1,59,16,0,0,1,0,0,0,180.0,0,0,0,0
4601,4,0,0,0,1,60,8,1,0,0,0,0,0,10.0,1,0,0,0
4729,3,1,0,0,1,57,18,0,0,1,0,0,0,84.72000122070312,0,0,1,100
4828,36,1,1,0,1,58,12,0,0,0,1,0,0,81.0,0,0,0,0
4935,3,0,1,1,1,57,17,0,0,0,0,1,0,116.0,0,0,0,100
4936,2,1,0,1,1,60,9,1,0,0,0,0,0,163.8000030517578,0,0,0,100
4964,24,0,1,0,1,61,16,0,0,0,0,1,0,246.0,0,1,1,50
5014,29,1,0,1,1,58,17,1,0,0,0,0,0,213.0,0,0,0,100
5014,30,1,0,0,1,59,16,1,0,0,0,0,0,213.0,0,0,0,100
