educ,cigpric,white,age,income,cigs,restaurn,lincome,agesq,lcigpric
16.0,60.50600051879883,1,46,20000,0,0,9.903487205505371,2116,4.102742671966553
16.0,57.882999420166016,1,40,30000,0,0,10.308952331542969,1600,4.0584235191345215
12.0,57.66400146484375,1,58,30000,3,0,10.308952331542969,3364,4.054633140563965
13.5,57.882999420166016,1,30,20000,0,0,9.903487205505371,900,4.0584235191345215
10.0,58.31999969482422,1,17,20000,0,0,9.903487205505371,289,4.065945148468018
6.0,59.34000015258789,1,86,6500,0,0,8.779557228088379,7396,4.083283424377441
12.0,57.882999420166016,1,35,20000,0,0,9.903487205505371,1225,4.0584235191345215
15.0,57.882999420166016,1,48,30000,0,0,10.308952331542969,2304,4.0584235191345215
12.0,59.19499969482422,1,48,20000,0,0,9.903487205505371,2304,4.080837249755859
12.0,58.02799987792969,1,31,20000,0,0,9.903487205505371,961,4.060925483703613
13.5,57.882999420166016,1,27,30000,10,0,10.308952331542969,729,4.0584235191345215
12.0,60.28799819946289,1,24,20000,20,0,9.903487205505371,576,4.099133014678955
10.0,57.882999420166016,1,71,8500,30,0,9.047821044921875,5041,4.0584235191345215
6.0,58.02799987792969,1,44,30000,0,0,10.308952331542969,1936,4.060925483703613
16.0,60.74599838256836,1,22,30000,0,0,10.308952331542969,484,4.106701374053955
12.0,60.07099914550781,1,29,20000,20,0,9.903487205505371,841,4.095527172088623
12.0,60.28200149536133,1,33,20000,0,0,9.903487205505371,1089,4.099033355712891
12.0,60.70399856567383,1,34,20000,30,0,9.903487205505371,1156,4.106009483337402
13.5,59.86000061035156,1,30,8500,0,0,9.047821044921875,900,4.092008590698242
10.0,60.32400131225586,0,48,30000,20,0,10.308952331542969,2304,4.099730014801025
6.0,59.04499816894531,1,61,5500,0,0,8.612503051757812,3721,4.0782999992370605
18.0,60.29399871826172,1,49,30000,0,0,10.308952331542969,2401,4.0992326736450195
12.0,59.04499816894531,1,33,20000,0,0,9.903487205505371,1089,4.0782999992370605
16.0,60.63199996948242,1,24,30000,0,1,10.308952331542969,576,4.104822635650635
16.0,61.74399948120117,1,36,30000,0,1,10.308952331542969,1296,4.122996807098389
15.0,60.86199951171875,1,39,20000,12,1,9.903487205505371,1521,4.108609199523926
18.0,61.39899826049805,1,38,30000,0,1,10.308952331542969,1444,4.117393493652344
12.0,60.823001861572266,1,29,30000,30,1,10.308952331542969,841,4.107967853546143
18.0,62.012001037597656,1,23,12500,0,1,9.433484077453613,529,4.127327919006348
16.0,61.321998596191406,0,51,20000,0,1,9.903487205505371,2601,4.116138458251953
13.5,62.0890007019043,1,28,20000,0,1,9.903487205505371,784,4.128568649291992
10.0,61.01499938964844,1,47,12500,30,1,9.433484077453613,2209,4.111119747161865
10.0,62.48899841308594,1,80,12500,0,1,9.433484077453613,6400,4.134990692138672
10.0,61.66699981689453,1,62,30000,2,1,10.308952331542969,3844,4.121748924255371
10.0,62.012001037597656,1,51,12500,0,1,9.433484077453613,2601,4.127327919006348
10.0,61.66699981689453,1,51,20000,35,1,9.903487205505371,2601,4.121748924255371
12.0,61.053001403808594,1,69,12500,0,1,9.433484077453613,4761,4.1117424964904785
12.0,61.09199905395508,1,28,8500,0,1,9.047821044921875,784,4.1123809814453125
18.0,61.9739990234375,1,38,20000,0,1,9.903487205505371,1444,4.126714706420898
15.0,61.167999267578125,1,30,30000,0,1,10.308952331542969,900,4.113624095916748
18.0,60.86199951171875,1,32,30000,25,1,10.308952331542969,1024,4.108609199523926
8.0,61.62900161743164,0,71,12500,0,1,9.433484077453613,5041,4.1211323738098145
10.0,62.48899841308594,1,18,20000,0,1,9.903487205505371,324,4.134990692138672
13.5,62.0890007019043,1,26,8500,15,1,9.047821044921875,676,4.128568649291992
10.0,61.74399948120117,1,30,20000,20,1,9.903487205505371,900,4.122996807098389
12.0,60.66999816894531,1,19,3500,0,1,8.160518646240234,361,4.105449199676514
12.0,61.167999267578125,1,19,6500,20,1,8.779557228088379,361,4.113624095916748
13.5,61.244998931884766,1,21,1500,0,1,7.313220500946045,441,4.114881992340088
16.0,62.0890007019043,1,44,20000,0,1,9.903487205505371,1936,4.128568649291992
10.0,60.55500030517578,1,69,30000,30,1,10.308952331542969,4761,4.103551864624023
16.0,60.55500030517578,1,53,20000,0,1,9.903487205505371,2809,4.103551864624023
8.0,62.24100112915039,1,53,12500,20,1,9.433484077453613,2809,4.131013870239258
6.0,61.70500183105469,1,38,6500,10,1,8.779557228088379,1444,4.1223649978637695
10.0,60.55500030517578,1,49,30000,20,1,10.308952331542969,2401,4.103551864624023
18.0,61.4370002746582,1,24,20000,0,1,9.903487205505371,576,4.118012428283691
16.0,61.321998596191406,1,57,8500,0,1,9.047821044921875,3249,4.116138458251953
15.0,61.167999267578125,1,28,20000,0,1,9.903487205505371,784,4.113624095916748
12.0,61.207000732421875,1,32,20000,20,1,9.903487205505371,1024,4.114261627197266
13.5,60.823001861572266,1,55,20000,0,1,9.903487205505371,3025,4.107967853546143
13.5,60.63199996948242,1,47,30000,0,1,10.308952331542969,2209,4.104822635650635
13.5,60.78499984741211,1,26,20000,0,1,9.903487205505371,676,4.1073431968688965
10.0,60.55500030517578,1,26,6500,20,1,8.779557228088379,676,4.103551864624023
16.0,60.70800018310547,0,61,30000,0,1,10.308952331542969,3721,4.106075286865234
10.0,60.66999816894531,1,48,20000,0,1,9.903487205505371,2304,4.105449199676514
18.0,62.736000061035156,1,32,30000,0,1,10.308952331542969,1024,4.138935565948486
16.0,62.0890007019043,1,29,12500,0,1,9.433484077453613,841,4.128568649291992
18.0,62.57099914550781,0,47,30000,0,1,10.308952331542969,2209,4.1363019943237305
10.0,60.70800018310547,0,62,20000,0,1,9.903487205505371,3844,4.106075286865234
16.0,62.159000396728516,0,30,8500,0,1,9.047821044921875,900,4.129695415496826
13.5,61.66699981689453,1,21,20000,0,1,9.903487205505371,441,4.121748924255371
12.0,61.207000732421875,1,28,2500,0,1,7.8240461349487305,784,4.114261627197266
12.0,61.053001403808594,1,50,30000,20,1,10.308952331542969,2500,4.1117424964904785
12.0,61.474998474121094,1,69,6500,0,1,8.779557228088379,4761,4.118630409240723
13.5,61.62900161743164,1,37,20000,60,1,9.903487205505371,1369,4.1211323738098145
12.0,61.74399948120117,0,40,30000,20,1,10.308952331542969,1600,4.122996807098389
6.0,61.4370002746582,1,47,20000,3,1,9.903487205505371,2209,4.118012428283691
10.0,61.93600082397461,1,78,2500,0,1,7.8240461349487305,6084,4.126101493835449
18.0,61.74399948120117,1,38,30000,0,1,10.308952331542969,1444,4.122996807098389
13.5,62.48899841308594,1,25,30000,0,1,10.308952331542969,625,4.134990692138672
12.0,61.321998596191406,1,67,8500,0,1,9.047821044921875,4489,4.116138458251953
13.5,60.900001525878906,1,50,30000,12,1,10.308952331542969,2500,4.109233379364014
13.5,61.551998138427734,1,47,30000,0,1,10.308952331542969,2209,4.119882106781006
8.0,62.48899841308594,1,76,6500,0,1,8.779557228088379,5776,4.134990692138672
8.0,60.78499984741211,1,28,30000,0,1,10.308952331542969,784,4.1073431968688965
12.0,61.513999938964844,0,32,20000,0,1,9.903487205505371,1024,4.119264602661133
12.0,61.89699935913086,0,28,20000,0,1,9.903487205505371,784,4.125471591949463
12.0,61.167999267578125,1,53,30000,20,1,10.308952331542969,2809,4.113624095916748
12.0,60.823001861572266,1,57,20000,0,1,9.903487205505371,3249,4.107967853546143
18.0,61.59000015258789,1,42,30000,0,1,10.308952331542969,1764,4.120499610900879
15.0,61.09199905395508,1,49,12500,0,1,9.433484077453613,2401,4.1123809814453125
18.0,61.78200149536133,1,31,20000,25,1,9.903487205505371,961,4.123611927032471
12.0,61.4370002746582,1,20,8500,0,1,9.047821044921875,400,4.118012428283691
18.0,61.89699935913086,1,45,20000,40,1,9.903487205505371,2025,4.125471591949463
18.0,60.55500030517578,0,63,30000,0,1,10.308952331542969,3969,4.103551864624023
15.0,61.70500183105469,1,61,30000,0,1,10.308952331542969,3721,4.1223649978637695
13.5,61.85900115966797,0,35,12500,30,1,9.433484077453613,1225,4.124857425689697
6.0,61.70500183105469,1,59,12500,0,1,9.433484077453613,3481,4.1223649978637695
10.0,62.65399932861328,0,17,8500,0,1,9.047821044921875,289,4.137627601623535
18.0,62.736000061035156,1,38,30000,0,1,10.308952331542969,1444,4.138935565948486
13.5,61.244998931884766,1,41,30000,0,1,10.308952331542969,1681,4.114881992340088
12.0,61.89699935913086,1,35,30000,0,1,10.308952331542969,1225,4.125471591949463
12.0,61.59000015258789,0,40,30000,0,1,10.308952331542969,1600,4.120499610900879
13.5,62.57099914550781,1,37,30000,0,1,10.308952331542969,1369,4.1363019943237305
12.0,62.40599822998047,0,27,5500,13,1,8.612503051757812,729,4.133661270141602
12.0,60.86199951171875,1,48,20000,0,1,9.903487205505371,2304,4.108609199523926
12.0,62.0890007019043,0,18,30000,0,1,10.308952331542969,324,4.128568649291992
12.0,60.86199951171875,0,43,20000,0,1,9.903487205505371,1849,4.108609199523926
10.0,62.012001037597656,1,20,3500,0,1,8.160518646240234,400,4.127327919006348
8.0,60.823001861572266,1,19,12500,1,1,9.433484077453613,361,4.107967853546143
13.5,60.70800018310547,1,22,12500,0,1,9.433484077453613,484,4.106075286865234
16.0,60.70800018310547,1,60,20000,0,1,9.903487205505371,3600,4.106075286865234
13.5,61.74399948120117,1,47,30000,0,1,10.308952331542969,2209,4.122996807098389
10.0,61.62900161743164,0,77,20000,0,1,9.903487205505371,5929,4.1211323738098145
13.5,61.36000061035156,1,26,20000,0,1,9.903487205505371,676,4.116758346557617
12.0,62.65399932861328,0,37,20000,20,1,9.903487205505371,1369,4.137627601623535
13.5,62.159000396728516,0,40,30000,15,1,10.308952331542969,1600,4.129695415496826
6.0,61.284000396728516,0,44,8500,0,1,9.047821044921875,1936,4.115518569946289
6.0,62.012001037597656,1,65,2500,0,1,7.8240461349487305,4225,4.127327919006348
16.0,60.900001525878906,1,26,30000,0,1,10.308952331542969,676,4.109233379364014
8.0,60.86199951171875,0,77,20000,0,1,9.903487205505371,5929,4.108609199523926
12.0,61.207000732421875,0,73,12500,0,1,9.433484077453613,5329,4.114261627197266
10.0,60.9379997253418,1,64,30000,0,1,10.308952331542969,4096,4.109857082366943
13.5,61.62900161743164,1,28,30000,0,1,10.308952331542969,784,4.1211323738098145
13.5,60.86199951171875,1,26,30000,20,1,10.308952331542969,676,4.108609199523926
10.0,61.09199905395508,1,64,20000,20,1,9.903487205505371,4096,4.1123809814453125
12.0,61.66699981689453,1,29,6500,0,1,8.779557228088379,841,4.121748924255371
12.0,61.9739990234375,1,55,20000,40,1,9.903487205505371,3025,4.126714706420898
12.0,62.736000061035156,1,54,30000,0,1,10.308952331542969,2916,4.138935565948486
15.0,61.207000732421875,1,42,20000,10,1,9.903487205505371,1764,4.114261627197266
13.5,62.736000061035156,0,70,12500,0,1,9.433484077453613,4900,4.138935565948486
16.0,61.284000396728516,1,71,20000,0,1,9.903487205505371,5041,4.115518569946289
12.0,61.74399948120117,1,24,30000,0,1,10.308952331542969,576,4.122996807098389
10.0,61.85900115966797,1,38,20000,20,1,9.903487205505371,1444,4.124857425689697
15.0,61.93600082397461,1,73,6500,0,1,8.779557228088379,5329,4.126101493835449
18.0,60.823001861572266,1,29,30000,0,1,10.308952331542969,841,4.107967853546143
13.5,60.55500030517578,1,24,20000,0,1,9.903487205505371,576,4.103551864624023
12.0,61.4370002746582,1,25,8500,0,1,9.047821044921875,625,4.118012428283691
15.0,62.0890007019043,1,22,20000,0,1,9.903487205505371,484,4.128568649291992
12.0,61.474998474121094,1,36,12500,5,1,9.433484077453613,1296,4.118630409240723
12.0,53.624000549316406,1,28,20000,0,0,9.903487205505371,784,3.981996774673462
13.5,53.3129997253418,1,27,6500,40,0,8.779557228088379,729,3.9761803150177
13.5,55.185001373291016,1,28,4500,8,0,8.411832809448242,784,4.010691165924072
12.0,53.38199996948242,1,53,20000,0,0,9.903487205505371,2809,3.977473497390747
13.5,54.98400115966797,1,23,30000,15,0,10.308952331542969,529,4.007042407989502
12.0,53.96900177001953,1,19,12500,15,0,9.433484077453613,361,3.9884097576141357
15.0,54.31399917602539,0,25,20000,0,0,9.903487205505371,625,3.994781970977783
13.5,54.64799880981445,0,34,12500,20,0,9.433484077453613,1156,4.000912666320801
13.5,54.14099884033203,1,20,30000,0,0,10.308952331542969,400,3.991591691970825
10.0,54.31399917602539,1,17,20000,0,0,9.903487205505371,289,3.994781970977783
16.0,66.58699798583984,1,51,30000,20,1,10.308952331542969,2601,4.198509216308594
12.0,65.29000091552734,1,44,30000,30,1,10.308952331542969,1936,4.178838729858398
12.0,65.29000091552734,1,29,20000,60,1,9.903487205505371,841,4.178838729858398
8.0,66.08799743652344,1,65,30000,0,1,10.308952331542969,4225,4.1909871101379395
12.0,65.29000091552734,1,53,30000,0,1,10.308952331542969,2809,4.178838729858398
8.0,67.93299865722656,0,46,20000,0,1,9.903487205505371,2116,4.218522071838379
18.0,65.29000091552734,1,51,30000,0,1,10.308952331542969,2601,4.178838729858398
18.0,65.54000091552734,1,66,30000,0,1,10.308952331542969,4356,4.1826605796813965
8.0,64.99099731445312,0,42,20000,0,1,9.903487205505371,1764,4.174248695373535
16.0,65.14099884033203,1,32,8500,40,1,9.047821044921875,1024,4.176554203033447
13.5,66.43699645996094,1,53,30000,25,1,10.308952331542969,2809,4.196254253387451
8.0,66.03800201416016,1,70,30000,0,1,10.308952331542969,4900,4.190230369567871
10.0,65.88899993896484,1,30,20000,30,1,9.903487205505371,900,4.187971591949463
18.0,65.88899993896484,1,42,30000,0,1,10.308952331542969,1764,4.187971591949463
12.0,66.53700256347656,1,69,30000,0,1,10.308952331542969,4761,4.197758197784424
10.0,66.43699645996094,1,18,5500,0,1,8.612503051757812,324,4.196254253387451
12.0,68.18399810791016,1,22,12500,10,1,9.433484077453613,484,4.222209930419922
6.0,66.68699645996094,0,38,20000,40,1,9.903487205505371,1444,4.200009822845459
10.0,66.43699645996094,1,52,20000,20,1,9.903487205505371,2704,4.196254253387451
10.0,65.14099884033203,0,17,30000,0,1,10.308952331542969,289,4.176554203033447
12.0,65.04100036621094,1,46,20000,0,1,9.903487205505371,2116,4.175017833709717
16.0,66.58699798583984,1,46,30000,0,1,10.308952331542969,2116,4.198509216308594
12.0,66.03800201416016,0,35,30000,0,1,10.308952331542969,1225,4.190230369567871
12.0,66.33799743652344,1,22,30000,16,1,10.308952331542969,484,4.194762706756592
12.0,61.54600143432617,1,54,20000,20,0,9.903487205505371,2916,4.119784832000732
12.0,61.183998107910156,1,58,12500,40,0,9.433484077453613,3364,4.113885879516602
10.0,62.012001037597656,1,27,12500,15,0,9.433484077453613,729,4.127327919006348
18.0,61.183998107910156,1,47,20000,40,0,9.903487205505371,2209,4.113885879516602
16.0,62.012001037597656,1,53,30000,40,0,10.308952331542969,2809,4.127327919006348
12.0,65.08200073242188,1,29,8500,10,0,9.047821044921875,841,4.175648212432861
13.5,67.81999969482422,1,29,8500,0,0,9.047821044921875,841,4.216856956481934
13.5,68.19999694824219,1,47,30000,0,0,10.308952331542969,2209,4.222444534301758
8.0,69.4020004272461,0,67,30000,10,0,10.308952331542969,4489,4.23991584777832
18.0,69.4020004272461,0,31,30000,0,0,10.308952331542969,961,4.23991584777832
12.0,67.1240005493164,1,27,8500,0,0,9.047821044921875,729,4.206541538238525
12.0,68.26300048828125,1,34,3500,0,0,8.160518646240234,1156,4.223367691040039
10.0,68.51599884033203,1,25,20000,0,0,9.903487205505371,625,4.227067470550537
12.0,67.81999969482422,1,46,20000,30,0,9.903487205505371,2116,4.216856956481934
16.0,67.81999969482422,0,50,12500,50,0,9.433484077453613,2500,4.216856956481934
6.0,67.75700378417969,1,69,8500,0,0,9.047821044921875,4761,4.215927600860596
13.5,67.81999969482422,1,32,12500,0,0,9.433484077453613,1024,4.216856956481934
12.0,67.69300079345703,1,64,8500,0,0,9.047821044921875,4096,4.214982986450195
15.0,67.9469985961914,1,30,20000,0,0,9.903487205505371,900,4.218728065490723
8.0,68.072998046875,1,78,12500,0,0,9.433484077453613,6084,4.220580577850342
13.5,69.14900207519531,1,46,12500,0,0,9.433484077453613,2116,4.236263751983643
13.5,69.52899932861328,1,49,30000,60,0,10.308952331542969,2401,4.241744041442871
12.0,70.01399993896484,1,30,12500,0,0,9.433484077453613,900,4.248695373535156
10.0,68.83300018310547,0,23,2500,20,0,7.8240461349487305,529,4.231683254241943
12.0,69.4020004272461,1,27,20000,15,0,9.903487205505371,729,4.23991584777832
18.0,68.38999938964844,1,28,30000,20,0,10.308952331542969,784,4.225226402282715
10.0,69.59200286865234,1,26,5500,30,0,8.612503051757812,676,4.242649555206299
6.0,67.69300079345703,1,44,12500,0,0,9.433484077453613,1936,4.214982986450195
13.5,69.4020004272461,1,54,30000,30,0,10.308952331542969,2916,4.23991584777832
12.0,69.84100341796875,1,54,8500,0,0,9.047821044921875,2916,4.24622106552124
12.0,69.89900207519531,1,66,6500,13,0,8.779557228088379,4356,4.247051239013672
18.0,67.88300323486328,1,49,30000,0,0,10.308952331542969,2401,4.217785835266113
16.0,67.44000244140625,0,77,6500,0,0,8.779557228088379,5929,4.211238384246826
12.0,68.89600372314453,1,74,12500,0,0,9.433484077453613,5476,4.232598304748535
18.0,69.46499633789062,0,69,30000,0,0,10.308952331542969,4761,4.240822792053223
13.5,68.64299774169922,1,78,30000,0,0,10.308952331542969,6084,4.22891902923584
13.5,68.38999938964844,1,57,30000,20,0,10.308952331542969,3249,4.225226402282715
8.0,70.12899780273438,1,53,8500,0,0,9.047821044921875,2809,4.250336170196533
16.0,67.31400299072266,1,88,30000,0,0,10.308952331542969,7744,4.2093682289123535
12.0,67.18699645996094,1,79,20000,0,0,9.903487205505371,6241,4.207479953765869
12.0,57.472999572753906,1,21,8500,0,0,9.047821044921875,441,4.0513153076171875
18.0,58.09400177001953,1,30,8500,0,0,9.047821044921875,900,4.0620622634887695
18.0,57.472999572753906,1,39,30000,0,0,10.308952331542969,1521,4.0513153076171875
15.0,59.85200119018555,1,25,500,9,0,6.214608192443848,625,4.091875076293945
10.0,59.130001068115234,1,58,20000,0,0,9.903487205505371,3364,4.079738616943359
13.5,59.130001068115234,1,23,30000,15,0,10.308952331542969,529,4.079738616943359
16.0,59.233001708984375,1,30,20000,28,0,9.903487205505371,900,4.081479072570801
10.0,57.93899917602539,1,31,8500,40,0,9.047821044921875,961,4.059390544891357
16.0,57.472999572753906,1,31,20000,0,0,9.903487205505371,961,4.0513153076171875
16.0,58.09400177001953,1,50,20000,0,0,9.903487205505371,2500,4.0620622634887695
8.0,58.507999420166016,1,20,12500,0,0,9.433484077453613,400,4.0691633224487305
13.5,57.11000061035156,0,24,12500,0,0,9.433484077453613,576,4.044979095458984
12.0,61.987998962402344,1,33,20000,0,0,9.903487205505371,1089,4.126940727233887
16.0,63.555999755859375,1,39,30000,0,0,10.308952331542969,1521,4.151921272277832
13.5,57.465999603271484,0,19,30000,0,0,10.308952331542969,361,4.0511932373046875
12.0,59.43000030517578,1,31,20000,20,0,9.903487205505371,961,4.084799289703369
13.5,60.04199981689453,1,40,30000,50,0,10.308952331542969,1600,4.095044136047363
16.0,59.492000579833984,1,39,12500,0,0,9.433484077453613,1521,4.085841655731201
15.0,59.67599868774414,1,23,5500,7,0,8.612503051757812,529,4.088930130004883
8.0,58.63199996948242,0,71,8500,0,0,9.047821044921875,5041,4.071280479431152
6.0,58.08000183105469,1,54,6500,0,0,8.779557228088379,2916,4.061821460723877
10.0,58.5099983215332,0,33,12500,20,0,9.433484077453613,1089,4.069197654724121
18.0,60.22100067138672,1,30,30000,0,0,10.308952331542969,900,4.098021030426025
12.0,57.834999084472656,1,31,8500,20,0,9.047821044921875,961,4.057594299316406
18.0,60.518001556396484,1,46,30000,0,0,10.308952331542969,2116,4.102941036224365
12.0,59.92100143432617,1,75,20000,0,0,9.903487205505371,5625,4.093027114868164
8.0,58.263999938964844,1,40,30000,20,0,10.308952331542969,1600,4.064984321594238
12.0,59.43000030517578,1,66,12500,0,0,9.433484077453613,4356,4.084799289703369
18.0,59.492000579833984,1,45,30000,40,0,10.308952331542969,2025,4.085841655731201
8.0,59.24599838256836,1,73,8500,0,0,9.047821044921875,5329,4.081698417663574
12.0,57.71200180053711,1,31,20000,30,0,9.903487205505371,961,4.055465221405029
13.5,58.263999938964844,1,27,30000,0,0,10.308952331542969,729,4.064984321594238
10.0,58.63199996948242,0,50,20000,0,0,9.903487205505371,2500,4.071280479431152
12.0,57.71200180053711,1,45,30000,0,0,10.308952331542969,2025,4.055465221405029
12.0,58.263999938964844,0,22,30000,30,0,10.308952331542969,484,4.064984321594238
13.5,59.24599838256836,0,44,30000,0,0,10.308952331542969,1936,4.081698417663574
10.0,58.5099983215332,1,51,30000,5,0,10.308952331542969,2601,4.069197654724121
6.0,58.816001892089844,1,59,3500,0,0,8.160518646240234,3481,4.074413776397705
10.0,58.448001861572266,1,59,20000,0,0,9.903487205505371,3481,4.0681376457214355
12.0,57.650001525878906,1,66,8500,0,0,9.047821044921875,4356,4.0543904304504395
13.5,59.24599838256836,1,35,30000,3,0,10.308952331542969,1225,4.081698417663574
10.0,57.650001525878906,0,17,20000,15,0,9.903487205505371,289,4.0543904304504395
12.0,59.553001403808594,1,35,20000,0,0,9.903487205505371,1225,4.086866855621338
16.0,59.61399841308594,1,30,30000,0,0,10.308952331542969,900,4.087890625
12.0,59.43000030517578,1,23,30000,0,0,10.308952331542969,529,4.084799289703369
8.0,58.14099884033203,1,60,8500,0,0,9.047821044921875,3600,4.062870979309082
18.0,59.24599838256836,1,27,20000,0,0,9.903487205505371,729,4.081698417663574
16.0,57.650001525878906,1,37,20000,0,0,9.903487205505371,1369,4.0543904304504395
15.0,57.957000732421875,0,42,20000,0,0,9.903487205505371,1764,4.059701442718506
8.0,59.92100143432617,1,87,3500,0,0,8.160518646240234,7569,4.093027114868164
13.5,59.61399841308594,1,26,20000,20,0,9.903487205505371,676,4.087890625
12.0,57.404998779296875,1,20,12500,15,0,9.433484077453613,400,4.050131320953369
10.0,58.87799835205078,1,65,12500,0,0,9.433484077453613,4225,4.075467586517334
12.0,59.61399841308594,1,35,30000,20,0,10.308952331542969,1225,4.087890625
18.0,59.000999450683594,0,38,30000,0,0,10.308952331542969,1444,4.077554225921631
